"荒谬绝伦","荒：荒唐。谬：错误。绝伦：没有可以相比的。形容言行荒唐、错误到了极点。"
"一塌糊涂","1.形容非常混乱或非常糟糕。 2.形容程度严重。如：醉得一塌糊涂；亏得一塌糊涂。"
"六神无主","六神：道家指主宰人的心、肺、肝、肾、脾、胆的六个神灵，借指人的精神。无主：没有主意。形容心慌意乱，拿不定主意。"
"心胸狭隘","以小气量为特征的。"
"战战兢兢","形容非常害怕而微微发抖的样子。也形容小心谨慎的样子。"
"时至今日","时间到了今天。指情况或形势发展到现在。"
"名声大振","名声广为传播，知名度大为提高。"
"延绵不断","形容山脉，河流，雨雪等接连不断。"
"共商国是","国是：国事；国家的大政方针。共同商量国家的政策和方针。"
"声名显赫","形容名气很大，有很高的知名度。"
"饱经风霜","饱：充分。风霜：寒风和严霜，比喻经历的岁月或艰辛。经受过无数次风吹霜打。形容经历了许多艰难困苦。"
"仕途经济","仕途指做官的途径，也指官场；经济，指经世济民，治理国家。做官治理国家。"
"延绵不绝","形容相同的自然景观一个接一个不间断地出现的成语。"
"滔天罪行","极大的罪行。"
"一衣带水","像一条衣带那样窄的水。形容一水之隔,往来无阻。"
"冤冤相报","仇人之间互相报复。"
"水深火热","比喻人民生活极端痛苦，难以生存。"
"青睐有加","形容对人的赏识或者喜爱。"
"穿云裂石","穿破云天，震裂石头。形容声音高亢嘹亮。"
"困心衡虑","用尽心思考虑。"
"耳闻则诵","听过一遍之后就能背诵。形容记忆力很强。"
"披星戴月","身上覆盖着星光，头上顶着月色。形容夜间劳作、赶路或早出晚归。"
"破涕为笑","涕：眼泪。停止了哭泣，又笑了起来。"
"信息资源","可以通过不同方式和渠道获取的、存在于生活、工作环境中的一切信息。"
"百战百胜","每战必胜。形容善于作战，所向无敌。"
"如芒在背","好像芒刺扎在背上一样。形容心神不宁，忐忑不安。"
"纷纷扰扰","凌乱的样子。也形容思绪纷乱。"
"不可偏废","不能偏重一个方面，而忽视另一个方面。指应同时并重。"
"开云见日","同“云开日出”。"
"震古铄今","同“震古烁今”。"
"不负韶华","指不辜负美好的时光、美好的年华。"
"黔驴技穷","黔：地名，原指唐代的黔州道，今为贵州省别称。技：技能，本领。指仅有的一点本领已经用完了。"
"伯仲难分","比喻人或事物不相上下，难分优劣高低，也指兄弟之间的美好情谊。"
"鼓角齐鸣","战鼓和号角一齐响起。形容古代军队出击时的雄壮阵势。"
"绥靖主义","用牺牲别国的利益安抚侵略者，以换取和平和安全的政策。"
"情真意切","指情意十分真切。"
"开卷有益","卷：书。益：好处。只要读书，总是有好处的。"
"阪上走丸","1.在斜坡上滚弹丸。比喻事态发展迅速。 2.比喻事情进展顺利，毫无阻碍。"
"一马平川","平川：平坦开阔的地方。能够纵马驰骋的平地。形容地势平坦开阔。"
"千辛万苦","形容许许多多的辛勤劳苦。表示承受的艰辛困苦非常之多。"
"惶惶不安","惊慌恐惧，心神不定。"
"一厘一毫","形容极少的数量。"
"一潭死水","一池不流的水。形容死气沉沉，长期没有什么改变的局面。"
"知难而进","明知有困难也仍然前进。指不怕困难，勇往直前。"
"知难行易","弄明白道理难，按道理去做容易。"
"返老还童","由衰老恢复青春，形容老年人焕发青春。"
"破旧立新","破除旧的东西，建立新的东西。"
"随行就市","按市场的行情行事。指价格随市场的行情进行调整。"
"涅槃重生","佛教从“缘起论”出发，揭示人空法空，一切皆空。"
"首尾相接","前后相连不断。"
"微波粼粼","形容水石等很明净。"
"百废待兴","许多被废置的事情都等着去做。指废置后需要重做的事很多。"
"千千万万","成千上万。形容数量极多。"
"不赞一词","1.别人无法再增添一句话。形容文章写得极好。 2.指无话可说。"
"一举成名","原指一旦科举及第，就会天下闻名。 后泛指因某事成功，一下子就出了名。"
"恼羞成怒","恼：气恼，生气。羞：羞愧。因为气恼和羞愧而发怒。"
"藏富于民","把财富藏在百姓家里。指让人民富裕起来。"
"原汁原味","食物原有的汤汁和味道。比喻事物原有的风格、特色等。"
"风雨交加","风雨一齐袭来。形容天气十分恶劣。有时也比喻几种灾难一齐袭来。"
"率性而为","按照自己的性情行事。"
"善始善终","形容很好地开头，圆满地结束。多指处理事情能坚持不懈，一直到成功。"
"公私兼顾","公和私两方面都顾到。"
"归根到底","归结到根本上。"
"旁敲侧击","在旁边敲，在侧面打。比喻不从正面直接说明意思，而从侧面用其他方式曲折表达。"
"福寿安康","福寿，是祝福长生不老。安康，是平平安安健健康康!一般祝福老年人身体健康长命百岁的意思。"
"热血沸腾","全身的热血像开水在滚动。比喻情绪高涨，十分激动。"
"扶摇直上","形容上升很快。"
"自由主义","1.19世纪和20世纪初期的一种资产阶级政治思想。自由主义者代表资产阶级的利益，反对政治的、社会的和宗教的束缚，在历史上曾经起过进步的作用。但在资产阶级取得政权后，自由主义就成了掩饰资产阶级统治的幌子。 2.革命队伍中的一种错误的思想作风，主要表现是缺乏原则性，无组织，无纪律，过分强调个人利益等。"
"日甚一日","一天比一天厉害。形容事物发展的程度越来越加深或日渐严重。"
"程门立雪","比喻尊敬老师，虔诚求学。"
"雁过留声","大雁飞过后留下声音。比喻留名于后世。"
"不甘寂寞","形容不甘心被冷落或急于想参与某件事情。"
"天时地利","自然气候和地理优势。泛指一切客观有利条件。"
"分身乏术","不能把身体分开来去做不同的事。"
"强弩之末","弩：古代一种利用机械射箭的弓。末：箭飞行的最后阶段。力量很大的弩射出的箭，到了射程的末尾也就没有力量了。比喻开始很强，到最后变得十分微弱的力量。"
"花里胡哨","形容颜色过分鲜艳繁杂。也比喻浮华而不实在。"
"击楫中流","敲打着船桨把船划到河流中间。"
"平起平坐","指双方处于同等的地位。"
"闻风而动","风：风声，消息。一听到消息就马上行动起来。"
"鸡鸣狗盗","学雄鸡啼叫，装狗行窃。比喻卑微不足称道的技能或指有这类技能的人。也形容偷偷摸摸的卑劣行为。"
"言论自由",""
"本草纲目","书名。中国重要的药物学著作。明李时珍编著。共五十二卷，分十六部六十二类，收药1 892种，附图一千余幅。是经过三十多年的长期调查采访后参考了八百多种有关文献编成的，总结了中国16世纪以前药物学的成就，对中国医药学的发展有很大贡献。"
"寻常巷陌","狭窄的街道和小路（统称）。"
"大模大样","形容傲慢、自大的样子。"
"一目千里","一目千里：原意指视力好，眼睛看得远。意指：某人有先见之明。"
"不足为训","不值得作为典范或准则。指不值得遵从或效仿。"
"明辨是非","清楚地辨别哪是正确的哪是错误的。"
"幸灾乐祸","幸：庆幸。见到他人遭遇灾难而高兴，以别人的痛苦作为自己快乐的基础。"
"有所作为","可以做事情，并能取得较大的成绩。"
"有利可图","有利益可谋求。泛指有好处可谋取。"
"飘忽不定","四处流动，没有固定地点停留，形容人四处流浪，或思想、看法时常变动.也形容物体随风飘荡.。"
"知微见著","见到苗头，就知道实质和发展趋势。"
"天翻地覆","形容变化极大或闹得很凶。也形容闹腾得很凶。"
"偷工减料","偷工：把应有的工序暗自抽减下来。减料：把应用的材料偷偷不用或用不合格的代用品。指在生产或施工中不严格按照质量要求，暗地里减少工序偷换原料。也比喻贪图省力，马马虎虎，敷衍了事。"
"暗淡无光","1.形容光线不明亮。 2.失去了光彩。 3.形容前途暗淡，没有希望。"
"二龙戏珠","两条龙相对，戏玩着一颗宝珠。"
"地无遗利","指地球自然资源全部被开发，没有遗漏。"
"职业教育","给予学生或在职人员从事某种专业工作所需的知识技能的教育。"
"恋恋不舍","形容非常眷恋，舍不得分开。"
"修齐治平","“修身齐家，治国平天下”的略语。儒家的一种政治思想，指加强自身品德修养，管理好自己的家庭，治理好自己所在的地区（诸侯国），最终实现全国安宁太平。"
"千回百转","1.形容回环往复或曲折复杂。 2.指曲折复杂的事情。"
"如石投水","像石头投进水中，水能完全接受。形容互相投合，关系融洽。"
"物有所值","物品用处和它的价值很相符。"
"谈笑自若","指能平静地对待所发生的情况，说说笑笑，不改常态。"
"笔底生花","同“笔下生花”。"
"凭空捏造","毫无根据地虚构、编造。"
"壁垒分明","比喻两种对立事物的界限很清楚。"
"人间地狱","人世间的地狱。比喻黑暗悲惨的社会生活环境。"
"坚强不屈","坚定刚强，毫不屈服。"
"匡扶正义","帮助，辅助正义。"
"指挥若定","指挥调度从容自若，好像胜利已成定局。形容指挥者胸有成竹，镇定从容。"
"耳顺之年","指六十岁。语本《论语·为政》：“子曰：‘吾十有五而志于学，三十而立，四十而不惑，五十而知天命，六十而耳顺，七十而从心所欲，不逾矩。’”"
"祸从天降","灾祸突然降临。"
"漫天飞舞","形容雪花或轻的东西满天飘的样子。"
"整装待发","整：整理。整理行装，准备出发。"
"一花独放","1.一枝花独自开放。比喻在众多事物中只有一种事物存在。 2.特指在众多优秀事物中只有一种优秀事物存在。"
"言者无罪","指提意见的人只要是善意的，即使提得不正确，也是无罪的。"
"长治久安","长期太平，永久安定。"
"收之桑榆","指初虽有失，而终得补偿。后指事犹未晚，尚可补救。"
"不虚此行","没有白走这一趟。指有收获而归。"
"沆瀣一气","1.沆瀣：夜间的水汽。形容雾气弥漫、迷茫一片的样子。 2.沆瀣：唐朝崔沆和崔瀣两人。指臭味相投的人结合在一起。相传唐朝科举考试主考官崔沆录取了自己的门生崔瀣，时人称其为“沆瀣一气”。"
"邂逅相逢","不期而遇。"
"雕虫小技","雕：雕刻。虫：鸟虫书，古代汉字的一种字体。比喻微不足道的技能。多指文字技巧。"
"招摇过市","招摇：张扬炫耀。市：街市。为引起他人注意，故意大摇大摆地走过闹市。"
"饮水思源","喝水的时候多想一想水的来源。比喻人不可忘本。"
"节用裕民","节省开支，使百姓富足。"
"尾生抱柱","相传尾生与女子约定在桥梁相会，久候女子不到，水涨，乃抱桥柱而死。典出《庄子·盗跖》。后用以比喻坚守信约。"
"俯首贴耳","同“俯首帖耳”。按：“帖耳”古书中又写作“贴耳”，今“帖耳”通行。"
"深信不疑","非常相信，没有一点怀疑。"
"积贫积弱","1.经长期不断积累而形成贫困和虚弱的状态。 2.经长期不断积累而形成的贫困和虚弱状态。"
"字正腔圆","吐字清晰，腔调圆润。多指说话、唱腔等咬字清楚，嗓音圆润。"
"一窍不通","窍：洞，指心窍。没有一个心窍是贯通的。比喻一点也不懂。"
"如临大敌","临：面对。好像面对着强大的敌人一样。形容戒备森严或过于紧张。"
"马到成功","战马一到阵地就取得胜利。形容迅速获胜或成功。"
"潜心贯注","形容做事用心专注。"
"百读不厌","读许多遍也不厌倦。"
"信心十足","做事情前的一种心态。比喻对所要做的事充满干劲，有百分之百的信心去做好，完成，胸有成足。"
"必先富民","但凡治理国家的方法，必须首先使百姓富裕起来。"
"细入毫芒","细得像细毛和麦芒一样。形容非常细。"
"目不窥园","指埋头专心读书。"
"滚瓜烂熟","滚瓜：滚圆的瓜。烂熟：极熟，熟透了。瓜长得滚圆，已经熟透了。形容朗读、背诵或记认得纯熟流利。"
"说千道万","“说一千道一万”的略语。指说了很多话。"
"张弛有道","名句原文张而不弛，文武弗能；弛而不张，文武弗为；一张一弛，文武之道也。"
"万头攒动","头：指人；攒：聚在一起。形容许多人聚集在一起。"
"巧舌如簧","巧：灵巧。簧：乐器里用铜或其他材料制成的发音薄片。舌头灵巧，像簧片一样。形容花言巧语，能说会道。"
"名人轶事","发生在名人身上的奇怪的事。"
"泥牛入海","泥塑的牛掉到海里。"
"震天动地","形容声音和力量极大，或所引起的轰动效应极大。"
"不顾一切","什么都不考虑，什么都不顾。"
"才华横溢","横溢：充分显露。指才华充分显露出来。"
"钱迷心窍","因贪财而思想糊涂。"
"至理名言","理：道理。名言：有名的、有影响的话。最有道理、最有价值的话。"
"无以伦比","没有能与之相比的。形容事物非常完美或出类拔萃。"
"风云突变","局势突然发生了变化。"
"重义轻财","看重仁义而轻视钱财。比喻不为财物而变节。"
"公私合营","中国对资本主义工商业实行社会主义改造采取的国家资本主义的高级形式。开始是个别企业的公私合营，1956年资本主义工商业实行全行业公私合营，生产资料全部转归国家所有，资本家的股金由国家付给定息。1966年9月，国家规定的支付给资本家的定息年限已满，停止支付定息，使公私合营企业完全变为社会主义全民所有制企业。"
"胜券在握","胜券：取得胜利的凭据。形容取胜或获得成功十分有把握。"
"如虎添翼","翼：翅膀。好像老虎添上了翅膀。比喻增添了力量，使得强大者更强大，凶恶者更凶恶了。"
"牵肠挂肚","形容心中十分挂念，放心不下。"
"嫁祸于人","嫁：转嫁，转移。于：到。把自己的祸害转嫁到别人身上。泛指把罪名、错误、责任等推给别人。"
"沐雨栉风","风梳发，雨洗头。形容人经常在外面不避风雨地辛苦奔波。"
"血肉相连","像血和肉那样连在一起。比喻关系非常密切，不可分离。"
"江郎才尽","江郎的才情文思枯竭了。比喻人的才思减退，不能写出好作品来。"
"乱七八糟","形容非常混乱，没有条理和秩序。"
"如获至宝","好像得到最珍贵的宝物。形容对于所得到的东西非常珍视和喜爱。"
"赤手空拳","赤：空。两手空空，什么也没有拿。原指格斗时手中没有武器。现形容从事某项工作、活动时无所凭借或依靠。"
"似有若无","好像有又好像没有。"
"各擅胜场","擅：独占；胜场：胜利之场所。各自占有胜利的位置。形容技艺精湛，各有所长。"
"绵延不断","形容相同的自然景观一个接一个不间断地出现。"
"见诸报端","极其显而易见，视为重点。"
"万物之灵","世上一切物种中最有灵性的。指人而言。"
"随随便便","是指不多加斟酌，怎么方便就怎么做。"
"古往今来","从古到今。泛指很长一段时间。"
"义愤填膺","膺：胸。正义的愤怒充满了整个胸膛。"
"耸入云霄","高高耸立，直入云霄。形容山峰或建筑物等很高。"
"温文尔雅","温文：态度温和有礼貌。尔雅：文雅。形容态度温和，举止文雅。"
"进退路穷","前进、后退都没有道路。比喻陷入困境。"
"异乎寻常","异：不同。寻常：平常。与平常不一样。表示很不一般。"
"神州大地","中国的别名。"
"侧目而视","斜眼看而不敢正视。形容十分畏惧的样子。"
"刀山火海","刀如山，火如海。比喻极其危险和艰苦的地方。"
"反躬自问","反过来问自己。指检讨、反省自身得失。"
"覆手为雨","是形容人反复无常或惯于玩弄权术。"
"不忍直视","形容景象极其悲惨。说白了就是场面惨不忍睹，不能正面去看。"
"低人一等","比别人低一个等级：职业不同是社会分工不同，不存在哪个行业～的问题。"
"披坚执锐","身穿坚固的铠甲，手拿锐利的兵器。形容全副武装投入战斗。"
"天外有天","指某一个境界之外更有无穷无尽的境界。多用来表示人的征独眼界受客观条件的限制,认识的领域需要不断扩大。"
"趁火打劫","趁：乘机。劫：抢劫。趁人家失火的时候去抢劫。比喻在别人危难时刻乘机捞好处。"
"有利有弊","有好的一面，也有坏的一面。"
"急公好义","急：急于。公：公益。好：喜爱。义：正义。指热心公益事业，见义勇为。"
"中流击水"," "
"生儿育女","繁衍后代 （生育），生育子女。"
"谈笑风生","形容谈话时又说又笑，兴致勃勃而有风趣。"
"以虚为实","虚：空；实：满。军事上迷惑对方，使其难辨虚实、真伪的一种战术。"
"摧枯拉朽","摧毁枯草，折断朽木。比喻迅速摧毁腐朽的事物。"
"祖祖辈辈","指世世代代。"
"尺短寸长","尺比寸长，但由于应用场合不同，一尺有不够长的时候，一寸也有多余的时候。"
"直道而行","指做事正直公道，毫无偏私。"
"鼠目寸光","比喻目光短浅，没有远见。"
"天下归心","天下百姓心悦诚服。"
"由己及人","用自己的心意去推想别人的心意，指设身处地替别人着想。"
"安然无虞","指平安顺利。"
"立足之地","立脚的地方。指容身之处。"
"知情同意","指在人体试验中，医生向受试者告知试验的各方面的情况后，受试者自愿同意参加该项临床试验的过程。"
"经验主义","1.认为感性经验是唯一可靠的哲学学说。经验主义有唯物的唯心的两种。 2.主观主义的一种表现形式，把局部的、狭隘的经验夸大为普遍真理，只相信局部的直接经验，轻视理论的指导作用。"
"不得而知","无从知道。"
"功勋卓著","形容人功劳，贡献很大。功勋：一个人为国家民族做出的贡献，功绩。"
"见始知终","看到事物最初的情形，就知道其最终结果。同“见端知末”。"
"拔得头筹","取得了第一个出场比赛资格。"
"赫赫有名","赫赫：显著盛大的样子。形容名声极大。"
"由浅入深","从浅显到深奥。多指求知循序渐进。"
"土崩瓦解","崩：崩溃，崩塌。解：分解，碎裂。像土那样崩塌，像瓦那样破裂。比喻彻底崩溃、垮台。"
"力所不及","力量或能力不能达到或做到。"
"孤高自许","孤僻清高，自以为了不起。"
"大象无形","不要过分的主张，要兼容百态。"
"不尽相同","指多个事物之间不完全相同。"
"平步青云","青云：高空。在平地上走路，一下子升到高空。比喻一下子升到很高的地位。"
"后悔莫及","后悔来不及了。"
"己所不欲","欲：想做的事；勿：不要；施：施加。自己不希望他人对待自己的言行，自己也不要以那种言行对待他人。"
"抱头鼠窜","抱着头，像老鼠那样惊慌逃跑。形容受到打击后狼狈逃窜的样子。"
"表里不一","表面与内在不一样。"
"音讯全无","指一点消息都没有。"
"连绵起伏","连续不断而且起伏不平。"
"小打小闹","小规模地做某事。"
"星辰大海",""
"靡然成风","群起响应、纷纷效尤而归向依从。"
"安土重迁","安居故乡，不轻易迁居他处。"
"亦庄亦谐","既庄重严肃，又诙谐幽默。"
"大厦将倾","高大的房屋即将倒塌。比喻形势危急。"
"荒无人烟","荒：荒凉。形容地方荒凉偏僻，没有人居住。"
"如沐春风","好像沐浴在春风中。比喻受到好的教育或处于良好的发展环境。"
"抱恨终天","抱：怀有。恨：悔恨，遗憾。终天：终身。一辈子都悔恨。"
"豪情壮志","豪迈的情怀，远大的志向。"
"逢场作戏","指江湖艺人遇到合适的场地就进行表演。"
"妖魔鬼怪","传说中的各种妖精和恶魔。比喻各种各样的恶人或邪恶势力。"
"步履蹒跚","形容走路步子不稳、行进缓慢的样子。"
"空谷足音","幽静山谷里传出的脚步声。比喻难得出现的事物或难得的音信、言论等。"
"换而言之","换一句话说。"
"嬉笑怒骂","指借以表现各种感情的言辞。多指以嘲讽、斥骂的口吻率意任情地发挥、表现。"
"重振旗鼓","重新整顿发号令的旗帜和战鼓。指失败后重新组织力量再干。"
"一挥而成","一动笔就完成了。形容用笔书写或画画的速度很快。"
"泽被后世","泽：恩泽，恩惠。被：覆盖。恩惠遍及到后代的人民。"
"功成身退","成功了就抽身回来。指功业建立起来就主动醉去官职。"
"堆积如山","堆积得像山一样。形容堆积的东西非常多。"
"妙言要道","切中要害的言论，精妙深刻的道理。"
"自由自在","不受拘束，不受限制。形容安闲舒适。"
"人心向背","向：归向，指拥护；背：背离，指反对。指人民大众的拥护或反对。"
"亭台楼阁","泛指各种供休息、游赏的建筑物。"
"冥顽不化","形容人非常顽固，不通情达理。"
"人才济济","济济：众多的样子。形容人才众多。"
"反唇相讥","反唇：顶嘴，回嘴。讥：讽刺，挖苦，嘲笑。不服对方的指责，抓住对方的话柄讥讽对方。"
"朴素无华","1.指颜色、穿着打扮等不浓艳，不华丽或风格、样式等不张扬，不夸张。 2.指语言、感情等朴实，不虚假。"
"倾囊相授","把所有的技能，知识都传授给学生。"
"不可端倪","找不着头绪。形容变化莫测。"
"精神财富","精神财富：是指人们从事智力活动所取得的成就。如著作权、专利权、商标权、科技成果权以及发明权等。他是一个无形的东西，即：除物质上的财富，就是精神财富。既然叫做财富，也像真正的财富一样宝贵的，而与真的财富不同的是，精神财富不会随时间的推移贬值或遗失（除非失忆了），具体说来应该是存在与你心中最珍贵的记忆或真谛，在你失意或悲伤的时候给予你抚慰，在挫折的时候给你信心或前进的方向，在你老去时可以回味的，谁也拿不走得你的内心宝藏，那是比任何实际财宝都要珍贵的东西，是一个人得以活下去，得以不断进取的源泉，所以精神财富也称作精神资源。"
"可大可小","暂未释义"
"面目可憎","面貌神情卑陋，使人看了厌恶。"
"生不如死","活着不如死去。指境遇极坏，饱受折磨。"
"各式各样","各种类别，各种式样。形容多种多样。"
"拾遗补缺","1.同“拾遗补过”。 2.补录著述中资料、文字的缺漏。泛指弥补他人所遗漏的事物或缺失的位置等。"
"空头支票","票面金额超过实际存款数额或银行允许的数额的支票，为无效的支票。比喻不能兑现的或不想兑现的诺言。"
"功成不居","原意为任其自然存在，不占为己有。 后用来表示立了功而不把功劳归于自己。比喻人的品格十分高尚。"
"车马盈门","门外停满了车马。形容宾客或来人很多。"
"扞格不入","相互抵触，格格不入。形容双方意见不合。"
"神机妙算","神：神奇。机：心思。算：谋算，谋划。高明的心计，巧妙的策略。形容计划十分高明，且有预见性。"
"言之有物","指文章或言论有实际内容。"
"就地取材","就地：就在当地。在当地选取所需要的人或材料。"
"草木葱茏","形容草木长得碧绿茂盛。"
"前因后果","因：起因。果：结果。事情的起因和结果。指事情发展变化的全过程。"
"风光旖旎","形容景色柔和优美。"
"一睹为快","形容急切盼望看到某种东西。"
"心无二用","形容一心不能同时用在两件事情上。"
"明修栈道","用假象迷惑对方，实际另有打算。"
"蜕故孳新","除去旧的，生出新的。"
"情同手足","手足：手和脚，比喻兄弟。感情很好，像亲兄弟一样。形容彼此之间情谊深厚。"
"奥妙无穷","指其中不易为人所知而奇妙有趣之处极多。"
"洋洋得意","形容神气十足，非常心满意足。"
"投石问路","原指在夜间潜入某处时，先扔一块石头，试探情况。后用以比喻在行动前，先进行试探以摸清情况。"
"山不厌高"," "
"不足为凭","不能作为凭据。"
"照单全收","照着礼单收下全部礼物。比喻全部收下。"
"扭转乾坤","把天地扭转过来。比喻彻底改变原有状况或局面。"
"在所难免","处在难以避免的情况中。指无法避免。"
"意味深长","意味：意义及趣味。指文章或话语含义深刻，耐人寻味。"
"楚河汉界","本指楚王项羽与汉王刘邦相争时双方对峙的河流和地界，后中国象棋棋盘上双方的分界处也称为“楚河汉界”。后以“楚河汉界”比喻两军对垒的分界线。"
"山吟泽唱","指山歌民谣。"
"读万卷书","如同行万里路一样。形容多读书，则见多识广。"
"官官相护","做官的庇护做官的。"
"讷言敏行","说话谨慎，行动迅速。"
"无欲无求","无欲，不对任何事、物抱很大的希望，甚至不抱希望，走到哪儿算到哪儿，不被环境所左右。得而不喜，失亦不忧。无求，不追求名与利，放下欲望。"
"知易行难","懂得道理容易，实际做起来困难。"
"如履平地","像走在平地上一样。"
"剥茧抽丝","剥开蚕茧抽出蚕丝。比喻研究事物发生发展过程，从中理出头绪。"
"诚心诚意","形容心意真实诚恳，没有虚假。"
"信口雌黄","信口：随口。雌黄：一种黄赤色的鸡冠石。古人在黄纸上写字，写错了就用雌黄涂掉重写。比喻不顾事实，随口乱说或妄加评论。"
"人之常情","一般人通常有的感情。"
"洁身自爱","同“洁身自好”。"
"宠辱不惊","受宠或受辱都不动心。指把荣辱得失置之度外。"
"空话连篇","满篇都是空话、废话。指文章或讲话没有实际内容。"
"白发苍颜","头发已白，脸色灰暗。形容老人的容貌。"
"每时每刻","每分钟；每一时刻。"
"夙兴夜寐","早起晚睡。形容勤奋辛劳。"
"前程似锦","锦：有花纹的丝织品，比喻美好的事物。前程像锦缎一样美好。形容前途光辉灿烂。"
"文不对题","文章的内容跟题目没关系，也指答非所问或者说的话跟原有的话题不相干。"
"妙手偶得","指写作技艺高超的人因一时灵感闪现而有意外收获。"
"互不相容","1.不能相容的性质或状态。                                                                                           2.指高职位官员之间的一种关系，在行使职权时彼此不一致。"
"一干二净","形容十分干净。也表示无一剩余。"
"简明扼要","简单明了，抓住要点。"
"百思不解","百思：百般思索，反复思考。解：理解。经过反复思索也不能理解。"
"心心念念","形容某个念头总存在心里，不能放下。"
"历久弥坚","时间经历得越久越坚固或坚定。"
"曲突徙薪","把烟囱改建成弯曲的，搬开灶旁的柴草，以避免发生火灾。比喻事先采取措施，防患于未然。"
"众矢之的","矢：箭。的：箭靶的中心。很多支箭射击的靶子。比喻许多人攻击的对象。"
"同甘共苦","甘：甜，指幸福，欢乐。苦：指艰辛。共同享受欢乐，一起承当艰苦。"
"胶漆相投","像胶和漆那样投合。"
"涓滴不漏","一丁点儿也不遗漏。"
"盲目乐观","盲：瞎，盲从。指不根据实际情况高兴得太早，盲：瞎，盲从。指不根据实际情况高兴得太早。"
"柔情蜜意","温柔甜蜜的情意。原作“柔情密意”，指恋人间温柔细密的情意，后多作“柔情蜜意”，意义稍有变化。"
"鹬蚌相争","常与“渔人得利”连用。形容双方争持，结果两败俱伤，让第三者得利。"
"奉若神明","像神一样信奉。形容极为尊敬崇拜。含贬义。"
"以柔克刚","用柔软制伏刚强。指避开锋芒，用温和的手段取胜。"
"百依百顺","依：依从。顺：顺从。形容一切都顺从别人。"
"惨不忍睹","悲惨得使人不忍心看下去。"
"代人捉刀","代替人写文章。"
"嚎啕大哭","同“号啕大哭”。按：古书中有此写法，今“号啕大哭”通行。"
"舍本求末","同“舍本逐末”。"
"扞格不通","1.形容互相抵触，相互矛盾。 2.形容固执守旧，不知变通。"
"危言危行","危：正直。说正直的话，做正直的事。"
"弃若敝屣","像扔掉破鞋一样。形容毫不可惜地扔掉或抛弃。"
"人尽皆知","一定范围内的人都知道了。也就是说大家都知道了。"
"秉烛夜游","持烛夜游。谓须及时行乐。"
"争奇斗艳","相互竞争谁更奇特、艳丽。多形容百花竞放的美丽景色。"
"一掷千金","掷：扔，投，这里指下赌注。原指赌博时一注就投下很多钱。后形容任意挥霍钱财。"
"世代相传","世世代代往下传。"
"人生苦短","苦于人生太短。并不是说过去的时间苦日子多，而是苦于人生过于短暂。没有好好珍惜时间。"
"评头品足","原指对妇女的容貌从头到脚进行评论。后也指对人对事挑剔、评论。"
"山重水复","指山峦重迭，水流盘曲。"
"一言一行","每句话，每个行动。泛指言谈举止。"
"笑里藏刀","笑容里隐藏着杀人的刀。军事上指以缓和的假象，掩盖备战的实质，麻痹敌人，乘其无备，突然袭击以制胜。为《三十六计》第十计。"
"德艺双馨","形容一个人的德行和艺术（技艺）都具有良好的声誉。一般指从事艺术的人。"
"温室效应",""
"以暴易暴","1.用一种暴政代替另一种暴政。指暴政没有根本上的变化。 2.用残暴的手段对付残暴的手段。 3.用暴力方式对付暴力方式。"
"隐约可见",""
"莫可名状","无法用言语来形容。"
"不甘示弱","示：显示，表现。弱：软弱，差。不甘心表现出自己比别人差。"
"名声在外","名声传扬在外，为众人所知。"
"自成一派","自己有一套解决问题的方法，已经有了总结，可以教别人了。"
"南来北往","形容行人和车马来来往往、热闹繁忙的样子。"
"价值连城","价：价值，价格。值：抵，相当于。连城：连成一片的许多城池。价值抵得上连成一片的许多城池。形容东西极其珍贵，价值极高。"
"举目无亲","举：抬。抬起眼睛看不到一个亲人。多形容人孤身在外，无依无靠。"
"水丰草美","水流充沛，草儿茂盛，牧草丰盛，风调雨顺，河水环绕牧场，草原溪流清澈欢快，适宜放牧的好地方。"
"箪食壶浆","1.用箪盛饭，用壶装汤。古书多有“箪食壶浆以迎王师”的记载，故借指老百姓热情欢迎他们所拥护的军队。 2.指馈赠食物。"
"身价倍增","建立或增进个人的权威、影响或声望。"
"泥古拘方","拘守古代成规而不知变通。"
"奔腾不息","1.奔跑腾越不停息。形容马匹奔跑前进或水流汹涌不止。 2.形容事物生气勃勃，不断向前发展。"
"蝇头小利","像苍蝇头那样小的利益。比喻极小的利益。"
"盛极一时","形容在某一时间内极为兴盛或流行。"
"无庸赘述","同“毋庸赘述”。按：“毋庸”古书中又写作“无庸”，今规范使用“毋庸赘述”。"
"丝丝入扣","每根经线都毫不错乱地从筘齿间穿过。形容做得精细准确，毫无差错。"
"笑逐颜开","逐：追逐，驱使。颜：脸。开：展开。笑得使整个脸面都舒展开来。形容眉开眼笑，非常高兴的样子。"
"朝朝暮暮","每天的早上和晚上。谓一天又一天，日日夜夜；时时刻刻。也形容短暂的时间。"
"重峦叠嶂","同“层峦叠嶂”。"
"求贤若渴","好像口渴想喝水一样迫切寻求贤才。形容求贤心切。"
"营私舞弊","营私：谋取私利。舞弊：用欺骗的手段做违法的事。为谋求私利而耍弄欺骗手段，干违法乱纪的事。"
"千夫所指","1.被众人指责、批评。形容触犯众怒。 2.指众人批评指责的事。"
"狂风巨浪","猛烈的风，巨大的浪。指来势迅猛或同时有强劲冲击力的变化。"
